"post","tag"
"Bitte sagen Sie mir  ob in 3 Tagen warmes Wetter sein wird!","WARM"
"Kann ich ein T-Shirt tragen?","WARM"
"Sind warme Temperaturen vorhergesagt  Assistant?","WARM"
"Ist eine hohe Temperatur zu erwarten in Kairo in 4 Stunden?","WARM"
"Wie sieht es aus mit einger hohen Temperatur?","WARM"
"Kann ich eine kurze Hose tragen?","WARM"
"Ist es heiß in Prag um 12:00 am Dienstag?","WARM"
"Hey Assistant  wird es heiß werden?","WARM"
"Bitte sag mir  ob es heiß werden wird in 3 Tagen?","WARM"
"Assistant  ist es warm draußen in einem Tag um 17:00?","WARM"
"Ist es heiß draußen  Assistant?","WARM"
"Hey Assistant  bitte sag mir  ob es warm ist.","WARM"
"Hi Assitant  ist es warm draußen in 4 Tagen?","WARM"
"Wird es in Prag heiß sein in 4 Stunden?","WARM"
"Hey Assistant bitte sag mir  ob warmes Wetter zu erwarten ist!","WARM"
"Muss ich mit warmem Wetter rechnen in der nächsten Woche?","WARM"
"Hey Assistant  bitte sag mir  ob das Wetter heiß sein wird in Osnabrück!","WARM"
"Ist es warm in Göteborg?","WARM"
"Wird es in Venedig diese Woche heiß werden?","WARM"
"Kann ich in Essen mit warmem Wetter rechnen?","WARM"
"Wird es um 13 Uhr warm sein in Potsdam?","WARM"
"Ist das Wetter warm in Rottenburg am nächsten Donnerstag?","WARM"
"Assistant  bitte sag mir ob das Wetter warm wird in Darmstadt morgen Abend.","WARM"
"Wird es hohe Temperaturen geben in Amsterdam?","WARM"
"Wie warm ist es in Istanbul?","WARM"
"Wie warm ist es heute?","WARM"
"Wie warm wird es in Erfurt?","WARM"
"Wie warm wird es in Amsterdam sein?","WARM"
"Ist warmes Wetter vorhergesagt für Adelaide?","WARM"
"ist das Wetter heiß heute mittag","WARM"
"Ist es heiß draußen?","WARM"
"Was ist die Durchschnittstemperatur","AVERAGE_TEMPERATURE"
"Was wird die Durchschnittstemperatur sein?","AVERAGE_TEMPERATURE"
"Welche Durchschnittstemperatur ist zu erwarten in Barcelona","AVERAGE_TEMPERATURE"
"Welche Durschnittstemperatur gibt es morgen in Oslo?","AVERAGE_TEMPERATURE"
"Welche Durchschnittstemperatur wird es in Edinburgh geben um 16:00?","AVERAGE_TEMPERATURE"
"Wie viel Grad wird es durschnittlich in Kirow sein in 4 Tagen?","AVERAGE_TEMPERATURE"
"Wie wird die Durchschnittstemperatur in Göttigen sein?","AVERAGE_TEMPERATURE"
"Wie ist am Sonntag die Durchschnittstemperatur in Wiesbaden?","AVERAGE_TEMPERATURE"
"Wie wird in Madrid die Durschnittstemperatur sein um 16:00?","AVERAGE_TEMPERATURE"
"Welche Temperatur ist durchschnittlich zu erwarten.","AVERAGE_TEMPERATURE"
"Was ist die durchschnittliche Temperatur in Los Angeles in 3 Stunden?","AVERAGE_TEMPERATURE"
"Kannst du mir bitte sagen  wie viel Grad es durchschnittlich etwa sein wird in 4 Tagen?","AVERAGE_TEMPERATURE"
"Bitte sag mir welche Durchschnittstemperatur um 14:00 in Prag sein wird!","AVERAGE_TEMPERATURE"
"Bitte sag mir  wie viel Grad durchschnittlich wird es in Berlin um 17:00!","AVERAGE_TEMPERATURE"
"Hey Assistant what is the average temperature in Rio am 17. Januar 2020!","AVERAGE_TEMPERATURE"
"Wie viel Grad ist es durchschnittlich in Madrid?","AVERAGE_TEMPERATURE"
"Assistant  was ist die Durschnittstemperatur in Köln?","AVERAGE_TEMPERATURE"
"Bitte sag mir  mit welcher Durchschnittstemperatur sollte ich rechnen in Amsterdam in 4 Tagen?","AVERAGE_TEMPERATURE"
"Mit welcher Durschnittstemperatur kann gerechnet werden? - Ich bin in Bangalore!","AVERAGE_TEMPERATURE"
"Ich würde gerne die Durschnittstemperatur erfahren für Lima!","AVERAGE_TEMPERATURE"
"Könntest du mir bitte sagen  wie in 4 Tagen die Durchschnittstemperatur in Peking vorhergesagt wird.","AVERAGE_TEMPERATURE"
"Hey  was ist die durchschnittliche Temperatur in Buenos Aires?","AVERAGE_TEMPERATURE"
"Hallo Assistent  wie viel Grad Celsius ist es durchschnittlich in Istanbul?","AVERAGE_TEMPERATURE"
"Wie viel Grad Celsius ist es durchschnittlich in Dhaka?","AVERAGE_TEMPERATURE"
"Könnten sie mir bitte die Durschnittstemperatur für Lyon sagen. Unzwar in 4 Tagen  bitte.","AVERAGE_TEMPERATURE"
"Könntest du mir bitte sagen  welche Temperatur durchschnittlich zu erwarten ist in Tübingen?","AVERAGE_TEMPERATURE"
"Ich bin gerade in Wuhan  wie wird die Durschnittstemperatur hier sein gegen 8 pm?","AVERAGE_TEMPERATURE"
"Wie wird die Durschnittstemperatur sein in Dresden morgen Abend?","AVERAGE_TEMPERATURE"
"Welche Durschnittstemperatur sollte ich erwarten in Gera?","AVERAGE_TEMPERATURE"
"Hallo Assistant  bitte sag mir wie die Durschnittstemperatur heute Nacht sein wird.","AVERAGE_TEMPERATURE"
"Sag mir bitte  mit welcher Durchschnittstemperatur ich rechenen sollte in Venedig","AVERAGE_TEMPERATURE"
"Welche Temperatur ist durchschnittlich zu erwarten in Kassel?","AVERAGE_TEMPERATURE"
"Wie viel Grad Celsius wird es durchschnittlich geben in Lübeck?","AVERAGE_TEMPERATURE"
"Hallo  sag mir mal bitte  wie viel Grad es durchschnittlich sein wird.","AVERAGE_TEMPERATURE"
"Welche Durchschnittstemperatur ist hier zu erwarten?","AVERAGE_TEMPERATURE"
"Wie viel Grad wird es durchschnittlich geben?","AVERAGE_TEMPERATURE"
"welche durchschnittstemperatur ist zu erwarten hier?","AVERAGE_TEMPERATURE"
"wie wird denn bitte die Durchschnittstemperatur auf Sylt","AVERAGE_TEMPERATURE"
"In welche Richtung weht der Wind?","WIND_DIRECTION"
"Mit welcher Windrichtung ist zu rechnen?","WIND_DIRECTION"
"In welche Richtung wird der Wind wehen in Prag?","WIND_DIRECTION"
"In welche Richtung weht der Wind in Helsinki","WIND_DIRECTION"
"Bitte sag mir  in welche Richtung der Wind weht in Tschernobyl am 26. April 2020.","WIND_DIRECTION"
"Hey  bitte sag mir in welche Richtung der Wind weht am 4.6.2020!","WIND_DIRECTION"
"In welche Richtung weht der Wind?","WIND_DIRECTION"
"Assistant  in welche Richtung weht in 4 Tagen der Wind in Hannover?","WIND_DIRECTION"
"Sag mir  in welche Richtung weht der Wind in Sevilla?","WIND_DIRECTION"
"In welche Richtung weht gerade der Wind?","WIND_DIRECTION"
"In welche Richtung weht in Bergen der Wind?","WIND_DIRECTION"
"Könntest du mir bitte sagen  in welche Richtung der Wind weht in Lahore?","WIND_DIRECTION"
"Bitte sag mir  in welche Richtung weht der Wind in Moskau am Sonntag","WIND_DIRECTION"
"Bitte sag mir  ob Übermorgen der Wind in Richtung Süden weht!","WIND_DIRECTION"
"Könntest du mir Sagen ob der Wind in Richtung Norden weht in Bern?","WIND_DIRECTION"
"Bitte sag mir  ob der Wind in Richtung Westen weht in Kalkutta um 17:00.","WIND_DIRECTION"
"Weht der Wind in Richtung Osten?","WIND_DIRECTION"
"In welche Richtung weht der wind morgen um 17:00?","WIND_DIRECTION"
"Assistant  bitte sag mir die Windrichtung in Rio in 8 Tagen.","WIND_DIRECTION"
"Hi Assistant  bitte sag mir in welche Richtung der Wind weht!","WIND_DIRECTION"
"Könntest du mir bitte sagen  in welche Richtung weht der Wind in 2 Tagen in Venedig.","WIND_DIRECTION"
"In welche Richtung weht der Wind am Freitag Mittag?","WIND_DIRECTION"
"Hey Assistant  bitte sag mir die Windrichtung am Donnerstag in Frankfurt.","WIND_DIRECTION"
"Könntest du mir bitte sagen  in welche Richtung der Wind weht in 4 Stunden in Oslo?","WIND_DIRECTION"
"Bitte sag mir  in welche Richtung weht der Wind?","WIND_DIRECTION"
"In welche Richtung weht morgen der Wind in Hamburg?","WIND_DIRECTION"
"In welche Richtung weht der Wind in Homburg um 16 Uhr","WIND_DIRECTION"
"In welche Richtung weht gerade der Wind in Rotterdam?","WIND_DIRECTION"
"Sag mir bitte  in welche Himmelsrichtung der Wind um 8.","WIND_DIRECTION"
"Hallo Assistant  bitte sag mir in welche Wind Richtung weht der wind heute Abend in Kiel.","WIND_DIRECTION"
"In welche Richtung weht denn gerade der Wind in Cottbus","WIND_DIRECTION"
"Wie ist die Windrichtung in Sheffield?","WIND_DIRECTION"
"Woher weht der Wind hier in Regensburg?","WIND_DIRECTION"
"In welche Richtung weht gerade der Wind in Lüneburg?","WIND_DIRECTION"
"Wie ist grade die Windrichtung?","WIND_DIRECTION"
"In welche Richtung bläst der Wind?","WIND_DIRECTION"
"in welche Richtung weht gerade der wind in Chemnitz?","WIND_DIRECTION"
"In welche Richtung weht gerade der Wind?","WIND_DIRECTION"
"Wird Schnee vorhergesagt?","SNOW"
"Ist der Himmel gerade blau in Potsdam?","CLOUDS"
"Muss ich mein Auto von Schnee befreien?","SNOW"
"Ist Schneefall vorhergesagt für Ufa?","SNOW"
"Wird es Schnee geben in Oslo um 15:00?","SNOW"
"Wird es am 3.3.2021 schneien in Lipezk?","SNOW"
"Wie viel Schnne wird es morgen in Dresden geben?","SNOW"
"Kannst du mir bitte sagen  ob Schnee vorhergesagt wird für Donnerstag?","SNOW"
"Bitte sag mir  ob mit Schnee gerechnet werden sollte in Gelsenkirchen!","SNOW"
"Bitte sag mir  ob morgen um 14 Uhr Schnee zu erwarten ist in Athen.","SNOW"
"Brauche ich Schneehandschuhe?","SNOW"
"Sag mir  ob Schnee vom Himmel fällt in Flensburg um 14:50.","SNOW"
"Ist es verschneit in Nürnberg?","SNOW"
"Könntest du mir sagen  ob Schnee kommt?","SNOW"
"Wird es am Sonntag schneien?","SNOW"
"Wird es in Washington schneien am 17.02.2020?","SNOW"
"Ist Schnee zu erwarten in 3 Stunden?","SNOW"
"Assistant  sollte ich mit Schnee rechnen in 5 Tagen","SNOW"
"Muss ich mit Schneefall rechenen in 4 Tagen in Ulm?","SNOW"
"Sollte ich mit Schnee rechnen in den nächsten Tagen?","SNOW"
"Hey Assistant, wie sieht es aus mit blauem Himmel in Potsdam","CLOUDS"
"Kann ich mit Schneefall rechnen in Boston?","SNOW"
"Assistant  bitte sag mir ob es schneit in Toronto!","SNOW"
"Hey Assistant wie sieht es morgen früh mit Schnee aus?","SNOW"
"Wird in Chicago Schnee fallen am Samstag Abend?","SNOW"
"Wird es schneien in Dallas gegen 15 Uhr?","SNOW"
"Ist Schnee vorhergesagt für Genua.","SNOW"
"Ist mit Schneefall zu rechnen? Ich bin gerade in Flensburg.","SNOW"
"Muss mit Schnee gerechnet werden in Bern?","SNOW"
"Wird es Schneefall geben in Stockholm?","SNOW"
"Fällt gerade Schnee in Wolfsburg?","SNOW"
"Hallo Assistant  bitte sag mir ob Schneefall zu erwarten ist heute Nacht.","SNOW"
"Wird es Schneefall geben in Ludwigshafen?","SNOW"
"Wie viel Schnee liegt gerade auf der Zugspitze?","SNOW"
"Schneit es am Sonntag etwa wieder?","SNOW"
"schneit es aktuell in Regensburg","SNOW"
"Wird es Schnee geben in Lübeck?","SNOW"
"Ist mit Schneefall zu rechnen in Melbourne","SNOW"
"Hallo Assistant  bitte sag mir  ob es in Freiburg schneit","SNOW"
"Ist Schnee vorhergesagt für Ansbach","SNOW"
"Wird es bewölkt sein?","CLOUDS"
"Sind Wolken am Himmel?","CLOUDS"
"Sind Wolken am Himmel in Wolfsburg?","CLOUDS"
"Ist es in Stockholm bewölkt?","CLOUDS"
"Ist es am Abend bewölkt in Lissabon?","CLOUDS"
"Sind diese Woche Wolken am Himmel in Vilnius?","CLOUDS"
"Ist es am 17.06.2020 bewölkt in Hannover?","CLOUDS"
"Wird es am Sonntag bewölkt sein in Bielefeld.","CLOUDS"
"Hey! Bitte sag mir  ob es in 2 Stunden noch bewölkt ist in Palermo.","CLOUDS"
"Sind wolken draußen in Regensburg?","CLOUDS"
"Könntest du mir bitte sagen  ob es bewölkt ist in Cottbus heute Abend?","CLOUDS"
"Ist es bewölkt in San Antonio","CLOUDS"
"Muss ich mit Wolken rechnen?","CLOUDS"
"Wird es am Montag bewölkt sein in den vereinigten Staaten","CLOUDS"
"Hey Assistant  sag mir ob es bewölkt sein wird!","CLOUDS"
"Muss mit Wolken gerechnet werden?","CLOUDS"
"Wird es bewölkt sein in Managua um 17 Uhr Abends?","CLOUDS"
"Hey Assistant  sag mir doch bitte ob für Charlotte bewölktes Wetter vorhergesagt wird.","CLOUDS"
"Wird es in den nächsten 3 Tagen bewölkt sein in Seattle?","CLOUDS"
"Hey Assistant  sag mir bitte  ob ich für Boston mit Schnee rechnen muss.","CLOUDS"
"Assistant  muss ich mit Wolken rechnen in Seattle?","CLOUDS"
"Hey Assistant sollte ich in Della mich auf bewölktes Wetter einstellen?","CLOUDS"
"Hey Assistant ist es bewölkt in Puebla?","CLOUDS"
"Wird das Wetter bewölkt sein in 4 Tagen um 15 Uhr?","CLOUDS"
"Ist es bewölkt in Antwerpen um 18 Uhr?","CLOUDS"
"Wird es in Ulm bewölkt sein in 4 Stunden?","CLOUDS"
"Sind Wolken am Himmel? Ich bin gerade in Aalen","CLOUDS"
"Sind viele Wolken am Himmel? Ich bin nämlich gerade in Erlangen.","CLOUDS"
"Wie bewölt ist der Himmel in 4 Stunden","CLOUDS"
"Hallo Assistant  bitte sag mir  ob das Wetter bewölkt sein wird in Las Vegas.","CLOUDS"
"Sind morgen viele Wolken am Himmel?","CLOUDS"
"gibt es Wolken in Belgrad?","CLOUDS"
"Wie viele Wolken sind gerade in Warschau am Himmel?","CLOUDS"
"Wird das Wetter bewölkt werden","CLOUDS"
"Wie bewölkt ist der Himmel gerade?","CLOUDS"
"Bewölktes Wetter vorhergesagt für Freitag?","CLOUDS"
"Ist der Himmel in 8 Tagen bewölkt in Saragossa?","CLOUDS"
"Wie wolkig wird es in Würzburg sein gegen Mittag","CLOUDS"
"Ist der himmel wolkenfrei?","CLOUDS"
"Wie warm wird es mindestens sein?","MIN_TEMPERATURE"
"Welche Minimaltemperatur ist zu erwarten?","MIN_TEMPERATURE"
"Wie warm wird es minimal in Turin?","MIN_TEMPERATURE"
"Welche Minimaltemperatur ist für Kopenhagen vorhergesagt für morgen Mittag?","MIN_TEMPERATURE"
"Wie viel Grad wird es mindestens geben in Cottbus?","MIN_TEMPERATURE"
"Wie warm wird es minimal in Siegen um 15 Uhr?","MIN_TEMPERATURE"
"Wie viel Grad Celsius wird es Übermorgen mindesten sein in Reutlingen?","MIN_TEMPERATURE"
"Wie viel Grad Celsius wird es mindestens sein in 8 Stunden in Jena?","MIN_TEMPERATURE"
"Hallo Assistant. Bitte sag mir welche Minimaltemperatur zu erwarten ist in 5 Stunden. Ich bin in Essen.","MIN_TEMPERATURE"
"Welche Temperatur ist mindestens zu erwarten in Köln um 7 Uhr.","MIN_TEMPERATURE"
"Welche Temperatur wird mindestens sein in Tianjin","MIN_TEMPERATURE"
"Welche Minimaltemperatur ist zu erwarten in Los Angeles?","MIN_TEMPERATURE"
"Könntest du mir bitte sagen  wie viel Grad es mindestens sein wird in Istanbul?","MIN_TEMPERATURE"
"Bitte sag mir mit welcher Minimaltemperatur zu rechnen ist in San Juan am 12.05.2020","MIN_TEMPERATURE"
"Hey Assistant  was ist die Vorhersage für die Minimaltemperatur um 12 Uhr in Cleveland?","MIN_TEMPERATURE"
"Was ist die minimale Temperatur in Minneapolis?","MIN_TEMPERATURE"
"Welche minimale Temperatur kann erwartet werden in Sacramento? Ich bin dort am Donnerstag.","MIN_TEMPERATURE"
"Mit welcher Minimaltemperatur ist am Montag zu rechnen?","MIN_TEMPERATURE"
"Hi Assistant  bitte sag mir  wie die Minimaltemperatur in Vancouver ist am 14.03","MIN_TEMPERATURE"
"Wie ist die Minimaltemperatur am 14. April?","MIN_TEMPERATURE"
"Assistant  sag mir doch bitte mit welcher Minimaltemperatur ich rechnen muss in 7 Tagen.","MIN_TEMPERATURE"
"Hallo Assistant  bitte sag mir  wie viel Grad es in Tianjin mindestens geben wird um 17 Uhr.","MIN_TEMPERATURE"
"Wie viel Grad Celsius wird es mindestens geben in Rio?","MIN_TEMPERATURE"
"Hey  Assistant  wie viel Grad Celsius wird es mindestens geben?","MIN_TEMPERATURE"
"Welche Mindestemperatur wird für Lima vorhergesagt  Übermogen um 14 Uhr?","MIN_TEMPERATURE"
"Welche Temperatur ist mindestens zu erwarten in Orlando","MIN_TEMPERATURE"
"Mit wie viel Grad ist nächste Woche Donnerstag um 14 Uhr mindestens zu rechnen. Ich bin in Potsdam.","MIN_TEMPERATURE"
"Wie viel Grad sind mindestens zu erwarten in Zagreb?","MIN_TEMPERATURE"
"Welche Minimaltemperatur wird es heute Nachmittag geben?","MIN_TEMPERATURE"
"Assistant  wird die Minimaltemperatur groß sein in Berlin?","MIN_TEMPERATURE"
"Wie viel Grad wird es morgen mindestens geben?","MIN_TEMPERATURE"
"Welche Temperatur wird es mindestens geben hier in Belgrad?","MIN_TEMPERATURE"
"Wie viel Grad wird es mindestens geben in Madrid?","MIN_TEMPERATURE"
"welche Minimaltemperatur ist zu erwarten?","MIN_TEMPERATURE"
"Wie viel Grad wird es mindestens geben?","MIN_TEMPERATURE"
"Ich bin gerade in Sydney  wie viel Grad wird es hier minimal geben","MIN_TEMPERATURE"
"welche Temperaturen wird es mindestens geben in Bilbao","MIN_TEMPERATURE"
"Mindestemperatur in Schweinfurt","MIN_TEMPERATURE"
"Was ist die maximal Temperatur?","MAX_TEMPERATURE"
"Mit welcher Temperatur kann maximal gerechnet werden?","MAX_TEMPERATURE"
"Mit warm wird es maximal in Turin?","MAX_TEMPERATURE"
"Welche Maximaltemperatur ist für Riga vorhergesagt?","MAX_TEMPERATURE"
"Welche Maximaltemperatur ist für Antwerpen vorhergesagt in 5 Tagen?","MAX_TEMPERATURE"
"Ich bin gerade in Manchester. Bitte sag mir  welche Maximaltemperatur zu erwarten ist.","MAX_TEMPERATURE"
"Wie viel Grad Celsius wird es maximal sein in Prag?","MAX_TEMPERATURE"
"Könntest du mir bitte sagen  wie warm in 3 Stunden maximal sein wird in Essen?","MAX_TEMPERATURE"
"Kannst du mir bitte sagen  wie warm es maximal sein wird?","MAX_TEMPERATURE"
"Welche Maximaltemperatur wird vorhergesagt für Aalen?","MAX_TEMPERATURE"
"Sag mir die maximale Temperatur  die in Chengdu zu erwarten ist!","MAX_TEMPERATURE"
"Welche Maximaltemperatur ist in Nürnberg zu erwarten in 3 Stunden?","MAX_TEMPERATURE"
"Welche Maximaltemperatur ist in Ludwigshafen zu erwarten um 16 Uhr?","MAX_TEMPERATURE"
"Mit welcher Maximaltemperatur kann abends gerechnet werden  Assistant?","MAX_TEMPERATURE"
"Hallo Assistent  bitte sag mir  welche Maximaltemperatur für Tianjin vorrausgesagt wird!","MAX_TEMPERATURE"
"Welche Maximaltemperatur wird für Kalkutta prognostiziert?","MAX_TEMPERATURE"
"Wie viel Grad wird es maximal in Rio?","MAX_TEMPERATURE"
"Wie ist die maximal zu erwartende Temperatur für Hamburg?","MAX_TEMPERATURE"
"Hi Assistant  bitte sag mir die Maximaltemperatur für in 4 Tagen!","MAX_TEMPERATURE"
"Ich würde gerne wissen  wie viel Grad es maximal wird in Moskau um 17:30!","MAX_TEMPERATURE"
"Wie ist die Maximaltemperatur in Chennai in 3 Tagen?","MAX_TEMPERATURE"
"Bitte sag mir  wie die Maximaltemperatur in Bogota sein wird am Sonntag!","MAX_TEMPERATURE"
"Hey Assistant  wie warm wird es maximal in Paris?","MAX_TEMPERATURE"
"Hey Assistant  bitte sag mir  wie ist die Maximaltemperatur in Amsterdam?","MAX_TEMPERATURE"
"Welche Maximaltemperatur wird vorhergesagt für Düsseldorf um 17 Uhr?","MAX_TEMPERATURE"
"Welche Temperatur ist maximal zu erwarten in Rottenburg?","MAX_TEMPERATURE"
"Mit wie viel  Grad ist maximal zu rechnen in Orlando am nächsten Donnerstag?","MAX_TEMPERATURE"
"Wie warm wird es maximal sein in Bakersfield?","MAX_TEMPERATURE"
"Welche Maximaltemperatur sollte man in Bakersfield erwarten heute Mittag?","MAX_TEMPERATURE"
"Wie viel Grad wird es maximal sein heute Nacht um 0:00?","MAX_TEMPERATURE"
"Wie viel Grad wird es morgen maximal geben?","MAX_TEMPERATURE"
"kann am dienstag mit gutem Wetter gerechnet werden","SUN"
"Wird es blauen Himmel geben in Freiburg gegen 23 Uhr","CLOUDS"
"Welche Temperatur wird es maximal geben in Moskau?","MAX_TEMPERATURE"
"Sag mir doch bitte  wie viel Grad es maximal geben wird in Mary","MAX_TEMPERATURE"
"Assistant  sag mir mal bitte  wie viel Grad wird es maximal hier in Maschhad","MAX_TEMPERATURE"
"Wie viel Grad wird es maximal geben in Essen?","MAX_TEMPERATURE"
"Sag mir bitte die Maximaltemperatur in New York am Samstag gegen 18 Uhr","MAX_TEMPERATURE"
"Welche Temperatur wird es höchstens geben in Faro?","MAX_TEMPERATURE"
"Hallo! Wie viel Grad wird es höchstens geben in Miami gegen abend","MAX_TEMPERATURE"
"Wird es neblig sein?","FOG"
"Ist mit Nebel zu rechnen?","FOG"
"Kannst du mir bitte sagen  ob es Nebel gibt in Marseille?","FOG"
"Könntest du mir bitte sagen  ob für Glasgow Nebel vorhergesagt wird?","FOG"
"Ist es neblig in Astrachan?","FOG"
"Wird es neblig sein in Genua?","FOG"
"Ist es Übermorgen um 17 Uhr neblig in Köln?","FOG"
"Sollte ich mit Nebel rechnen in 4 Stunden?","FOG"
"Bitte sag mir  ob es am Samstag Nebel gibt in Leipzig?","FOG"
"Wie sieht es aus mit Nebel?","FOG"
"Ist es neblig New Orleans?","FOG"
"wann kann man mit blauem Himmel rechnen","CLOUDS"
"Wird es in 2 Stunden Nebel geben in Austin?","FOG"
"Sollte ich in Philadelphia mit Nebel rechnen am 14.04.2020?","FOG"
"Wird Nebel vorhergesagt?","FOG"
"Hey Assistant  sag mir doch bitte ob es in Washington neblig ist am Dienstag.","FOG"
"Sollte mit Nebel gerechnet werden in Detroit?","FOG"
"Wird das Wetter in 2 Tagen neblig sein in Tampa?","FOG"
"Könntest du mir bitte sagen  ob es am Dienstag Nebel geben wird in St. Louis?","FOG"
"Wird das Wetter neblig sein in Miami?","FOG"
"Kann ich am Nachmittag mit Nebel rechnen?","FOG"
"Assistant  sollte ich mit Nebel rechnen in den nächsten beiden Stunden?","FOG"
"Hey Assistant  wie sieht es aus mit Nebel in Baltimore?","FOG"
"Hey Assistant  ist es in 3 Tagen neblig in Orlando?","FOG"
"Sollte ich mit Nebel rechnen in Pittsburgh?","FOG"
"Könnten Sie mir bitte sagen  ob es in London Nebel geben wird?","FOG"
"Wird es neblig sein in Göteborg am nächsten Samstag?","FOG"
"Wird es Nebel geben in Ulm gegen 15 Uhr?","FOG"
"Ist in Wien viel Nebel?","FOG"
"Ist in 22 Stunden Nebel zu erwarten in Miami?","FOG"
"Wird das Wetter neblig sein heute früh?","FOG"
"Ist es in Istanbul neblig in 4 Stunden?","FOG"
"Wie sieht es morgen mit Nebel aus?","FOG"
"Wird es neblig in Durban?","FOG"
"Muss mit starkem Nebel gerechnet werden?","FOG"
"Ist es hier neblig?","FOG"
"Ist denn mit Nebel zu rechnen am Montag um 17:00?","FOG"
"Wird es morgen nebeln","FOG"
"Hallo  ist es morgen neblig?","FOG"
"Wird Sturm vorhergesagt","THUNDER"
"Bitte sag mir  ob Sturm kommt!","THUNDER"
"Ist in Paris mit Sturm zu rechnen?","THUNDER"
"Wird es Donner und Blitze geben in Neapel?","THUNDER"
"Kann ich am Sonntag mit Blitz und Donner rechnen in Göteborg?","THUNDER"
"Ist es heute Mittag stürmisch in Kiel?","THUNDER"
"Sollte ich mit Sturm rechnen?","THUNDER"
"Wird es in 4 Tagen stürmisch sein?","THUNDER"
"Ist mit Sturm zu rechnen in Budapest um 17 Uhr?","THUNDER"
"Wird es stürmisches Wetter geben in 4 Tagen in Hanau?","THUNDER"
"Ist in Budabest mit einem Sturm zu rechnen?","THUNDER"
"Bitte sag mir  ob es am 17.03.2020 einen Sturm geben wird in Chicago.","THUNDER"
"Ist ein Gewitter zu erwarten in Bergen um 12:00?","THUNDER"
"Hey Assistant  wird es Übermorgen gewittern in Hanoi?","THUNDER"
"Hey Assistant  bitte sag mir  ob es ein Gewitter mit Blitzen geben wird.","THUNDER"
"Sag mir bitte  ob abends ein Sturm zu erwarten ist in Würzburg.","THUNDER"
"Assistant  wird es einen Sturm geben in 3 Tagen in Hamburg?","THUNDER"
"Wird es ein Gewitter geben am Montag? ","THUNDER"
"Sollte ich mit Blitzen rechnen in 4 Tagen  Assistant?","THUNDER"
"Hi Assistant  sag mir doch bitte  ob es stürmisch wird in den nächsten 3 Tagen.","THUNDER"
"Ist stürmisches Wetter in der Vorhersage?","THUNDER"
"Hey Assistant  wird das Wetter stürmisch in Columbus?","THUNDER"
"Wie sieht es aus mit Sturm?","THUNDER"
"Sollte man sich auf Sturm vorbereiten in Baltimore in dieser Woche?","THUNDER"
"Ist es stürmisch in Flensburg um 16:00?","THUNDER"
"Wird es in Karlsruhe morgen stürmisch werden gegen 16 Uhr?","THUNDER"
"Sag mir bitte  ob es stürmisch werden wird in Rottenburg","THUNDER"
"Ist es in Dortmund stürmisch um 17 Uhr?","THUNDER"
"Sag mir  ob das Wetter stürmisch wird in 4 Stunden?","THUNDER"
"Wird das Wetter nächste Woche am Sonntag stürmisch?","THUNDER"
"Kommt stürmisches Wetter in Rottenburg um 17 Uhr?","THUNDER"
"Wie stürmisch ist es gerade in Ulm?","THUNDER"
"Welche Temperatur ist durchschnittlich zu erwarten in Flensburg?","AVERAGE_TEMPERATURE"
"Kannst du mir bitte sagen  ob es Sturm gibt in Hannover?","THUNDER"
"Wie stürmisch ist es gerade?","THUNDER"
"ist es gerade stürmisch in Leogang","THUNDER"
"Kommt ein Gewitter in Frankfurt","THUNDER"
"Muss ich mir um 18 Uhr in Massachusetts Sorgen um Blitze machen?","THUNDER"
"Wie sieht es aus mit Stum in Bad Abbach?","THUNDER"
"Wie wird das Wetter","WEATHER"
"Sag mir bitte ob es morgen in Köln windig sein wird!","WIND"
"Kann ich morgen mit gutem Wetter rechnen in Bern?","SUN"
"Wie viel Sonne scheint denn morgen in Sinzing um 18 Uhr?","SUN"
"Sag mir bitte ob es stürmisch sein wird in Köln morgen gegen abend.","THUNDER"
"Sag mir bitte ob es am 1. September kalt wird in Amberg","COLD"
"Wie ist der Luftdruck in Ulm gegen drei Uhr?","AIR_PRESSURE"
"In welche Richtung wird der wind heute Abend wehen?","WIND_DIRECTION"
"Wie viel Grad sind maximal zu erwarten in Amsterdam?","MAX_TEMPERATURE"
"Sag mir bitte, ob ich eine Jacke benötige","COLD"
"Sag mir wie hoch die Temperatur mindestens sein wird!","MIN_TEMPERATURE"
"Sag mir bitte wie viel Grad durchschnttlich zu erwarten sind in Würzburg","AVERAGE_TEMPERATURE"
"Wann ist wieder mit schlechtem Wetter zu rechnen?","RAIN"
"gibt es morgen um 17 uhr schlechtes wetter?","RAIN"
"wird das wetter am 13. Juli schlecht sein in Oberhausen","RAIN"
"sag mir bitte, ob ich mit schlechtem wetter rechnen sollte übermorgen in Duisburg!","RAIN"
"wie sieht es aus mit schlechtem Wetter gegen 18 Uhr","RAIN"
"muss mann mit schlechtem wetter rechnen in Ulm?","RAIN"
"Wann ist durchschnittlich mit 10 grad zu rechnen","AVERAGE_TEMPERATURE"
"ist durchschnittlich mit 10°C zu rechnen in Wolfsburg gegen 3 Uhr abends?","AVERAGE_TEMPERATURE"
"Wird das Wetter um 15 Uhr gut in Neunkrichen?","SUN"
"gutes Wetter morgen?","SUN"
"wann kommt nächste Woche Regen","RAIN"
"wie wird das Wetter nächste Woche","WEATHER"
"wann kommt nächste Woche Regen","RAIN"
"Wann kommt gutes Wetter?","SUN"
